Loc,theta,z,ToA_S1,ToA_S2,ToA_S3,ToA_S4,ToA_S5,ToA_S6,ToA_S7,ToA_S8,Amplitude_S1,Amplitude_S2,Amplitude_S3,Amplitude_S4,Amplitude_S5,Amplitude_S6,Amplitude_S7,Amplitude_S8,SignalEnergy_S1,SignalEnergy_S2,SignalEnergy_S3,SignalEnergy_S4,SignalEnergy_S5,SignalEnergy_S6,SignalEnergy_S7,SignalEnergy_S8,Force_N,Impact_Type
1,0,7.5,0,8.7738037109375e-05,0.000115394592285156,8.91685485839844e-05,0.000128269195556641,0.000148773193359375,0.000209331512451172,0.000151157379150391,-1,0.145692989123525,-0.147703767615808,-0.0538402619400047,-0.117687967694436,0.165780267338843,-0.166146648463609,0.163908171731442,0.000135890641974195,3.53453719366391e-06,4.82653238454991e-06,2.70511273576838e-06,4.09627434793613e-06,5.98371991264237e-06,4.32301236316853e-06,4.60971952535565e-06,12.477209283547,0
1,0,7.5,0,1.95503234863281e-05,4.33921813964844e-05,2.57492065429688e-05,8.96453857421875e-05,0.000148296356201172,8.24928283691406e-05,0.000154495239257812,-1,0.146128964828566,-0.172324790979757,0.0893348785658771,-0.152476172920708,0.190284914908302,-0.175004064524421,0.186905522547102,0.000168757987824507,3.63933146734645e-06,6.15659972515778e-06,3.42628643779913e-06,5.31236497036912e-06,7.05595679157666e-06,5.5569581345721e-06,5.5477573599763e-06,13.2860901172866,0
1,0,7.5,0,8.29696655273438e-05,9.05990600585938e-05,8.53538513183594e-05,9.77516174316406e-05,0.000174522399902344,0.000210762023925781,0.000162601470947266,-1,0.161960243292393,-0.169843502610575,-0.0866100723756484,-0.138152618593418,0.179644490218127,-0.184237257152195,0.179586291800589,9.8096086309555e-05,2.67350225348916e-06,3.84715139202437e-06,2.26937250065685e-06,3.16750070914205e-06,4.51648684844409e-06,3.37311495183606e-06,3.51656819909e-06,10.5561173034155,0
2,0,15,0,7.72476196289062e-05,0.000138282775878906,7.82012939453125e-05,0.000106334686279297,8.82148742675781e-05,0.000143527984619141,0.000135421752929688,-1,0.417201959814505,-0.359032197228101,0.382314028104868,-0.421261614497798,0.530382471939183,-0.439124001219598,0.467672997715468,4.04954029581178e-05,7.78766434447145e-06,8.0986630029338e-06,8.23094679727123e-06,1.09020716842128e-05,1.54867969262375e-05,8.51201446159754e-06,1.07192189216711e-05,12.7805395961993,0
2,0,15,0,2.86102294921875e-05,4.62532043457031e-05,3.14712524414062e-05,7.20024108886719e-05,0.000133037567138672,0.000174999237060547,0.000142097473144531,-1,0.334204177602701,-0.312883170281481,0.352923727823924,-0.393558532262684,0.454815083545859,-0.398963377222797,0.419120015223889,5.85813584708831e-05,7.73557588984546e-06,9.8247222892082e-06,9.99636926586941e-06,1.25720142173436e-05,1.70438773623915e-05,1.00942460492427e-05,1.23791964722811e-05,14.0949709510261,0
2,0,15,0,5.7220458984375e-05,3.00407409667969e-05,4.10079956054688e-05,4.9591064453125e-05,0.000104904174804688,0.000146389007568359,0.000110626220703125,-1,0.363490202175497,-0.342685144672045,0.407546244624432,-0.447836292020652,0.505695805541695,-0.439936199517453,0.461225913728897,4.93079026265402e-05,8.07542497507254e-06,1.05283659720238e-05,1.15242239553834e-05,1.38051953320401e-05,1.84459393658795e-05,1.08477534257838e-05,1.33760563179314e-05,13.5894204299389,0
2,0,15,0,4.67300415039062e-05,6.53266906738281e-05,3.4332275390625e-05,5.19752502441406e-05,9.63211059570312e-05,0.000142097473144531,9.96589660644531e-05,-1,0.368854704690022,-0.351228732461258,0.410645693168636,-0.397392881352082,0.517379254614372,-0.459285774969467,0.480522147207917,3.65142824996654e-05,5.61128991669178e-06,7.41952362292867e-06,7.85508512892039e-06,9.28988991785776e-06,1.27433358115864e-05,7.58643837079992e-06,9.33806553056868e-06,11.4661082413725,0
3,0,22.5,1.09672546386719e-05,6.15119934082031e-05,2.57492065429688e-05,6.29425048828125e-05,0,2.52723693847656e-05,2.90870666503906e-05,1.95503234863281e-05,-0.953730017951116,0.513132767270199,-0.70198048162191,0.848213878905755,-1,0.975673516758322,-0.69813552693259,0.862406824995923,2.38336089337058e-05,8.15012267650015e-06,1.30671837588931e-05,2.11495804695906e-05,3.04118140364021e-05,2.88153901173601e-05,1.3269927841345e-05,2.16381289327844e-05,14.7016315763308,0
3,0,22.5,2.38418579101562e-06,5.19752502441406e-05,9.01222229003906e-05,2.09808349609375e-05,0,6.19888305664062e-06,2.43186950683594e-05,3.62396240234375e-05,-0.952596833528018,0.536636577642657,-0.685928509914561,0.843163012059777,-0.970415254004844,1,-0.700088679630849,0.867004056561582,1.94517148885334e-05,6.41659707198314e-06,9.64771269012557e-06,1.57346151625404e-05,2.27580305425654e-05,2.278387839505e-05,9.74462194180385e-06,1.63379437567509e-05,13.1849800130691,0
3,0,22.5,0,5.7220458984375e-05,9.58442687988281e-05,4.52995300292969e-05,1.09672546386719e-05,5.48362731933594e-05,6.58035278320312e-05,5.24520874023438e-05,-0.92244993470401,0.522944058079112,-0.683155427323768,0.795926907769164,-1,0.966548968788165,-0.669787776445763,0.832957341307405,1.68109085614513e-05,6.96632455490341e-06,1.08963418956382e-05,1.64102939836356e-05,2.33518457639515e-05,2.40815692934948e-05,1.12284983769756e-05,1.70305324379142e-05,12.3760991793295,0
