Loc,theta,z,ToA_S1,ToA_S2,ToA_S3,ToA_S4,ToA_S5,ToA_S6,ToA_S7,ToA_S8,Amplitude_S1,Amplitude_S2,Amplitude_S3,Amplitude_S4,Amplitude_S5,Amplitude_S6,Amplitude_S7,Amplitude_S8,SignalEnergy_S1,SignalEnergy_S2,SignalEnergy_S3,SignalEnergy_S4,SignalEnergy_S5,SignalEnergy_S6,SignalEnergy_S7,SignalEnergy_S8,Force_N,Impact_Type
1,0,7.5,0,2.38418579101562e-05,0.000104427337646484,7.2479248046875e-05,0.000145912170410156,0.000156402587890625,0.00020599365234375,0.000158786773681641,-1,-0.258498956139253,-0.671219082041429,0.479441929537633,-0.571546678056861,0.521618727819256,0.60176652845589,-0.4768730779675,0.000393315438093142,0.000130667426801662,0.000553774007725508,0.000333421163910563,0.00040924839834755,0.000408173885298989,0.000420033953361566,0.000321037206487602,21.2342005688697,1
1,0,7.5,0,8.96453857421875e-05,0.000115871429443359,9.29832458496094e-05,0.000165939331054688,0.000189781188964844,0.000228404998779297,0.000174045562744141,-1,-0.245901325731522,-0.597213627023204,0.451483510166334,-0.590883461724872,0.473968875107804,0.62148845002453,-0.476046465163077,0.000253479539049862,8.38161106394584e-05,0.000350449225194703,0.000213972008856117,0.000262152757651661,0.000253938553295219,0.00027671842810437,0.000205292331599867,15.9927769352428,1
1,0,7.5,0,9.20295715332031e-05,0.000115871429443359,8.15391540527344e-05,0.000117778778076172,0.000181674957275391,0.000215530395507812,0.000171184539794922,-1,-0.236481883064665,-0.595385704621156,0.414211764957475,-0.550312799347917,0.480336229527309,0.570737916381567,-0.446141126601791,0.000330118620315138,0.000108279204122559,0.000448884732893361,0.000272401041191804,0.000332487377996557,0.000326816369162869,0.000353212075424332,0.000264299868977845,18.5126921437173,1
1,0,7.5,0,3.91006469726562e-05,5.19752502441406e-05,2.86102294921875e-05,9.29832458496094e-05,0.000165462493896484,0.000171661376953125,0.000165462493896484,-1,-0.234607841437067,-0.613884941142868,0.421289508391517,-0.620234811127274,0.457967466359661,0.619445283023019,-0.433959024206063,0.000718063959306412,0.000210799682743249,0.000975322305479841,0.000550396226864936,0.000746724529995374,0.000664265945674091,0.000779342903807929,0.000523153893062409,25.7700479441238,1
2,0,15,0,4.81605529785156e-05,0.000133514404296875,3.71932983398438e-05,4.62532043457031e-05,0.000101566314697266,0.00012969970703125,0.000102996826171875,-0.811736126448093,-0.343223195182585,-1,-0.548826711352893,-0.80531246377158,0.750320204484181,0.888350092610228,-0.649492509741562,0.000365332457064848,0.000163303891789076,0.000686679915208156,0.000397590911656022,0.000499812427907635,0.000481476652703049,0.00055588612493499,0.000390076168335908,16.5975565852767,1
2,0,15,0,5.43594360351562e-05,6.67572021484375e-05,1.85966491699219e-05,4.57763671875e-05,0.000110626220703125,0.000140666961669922,0.000105857849121094,-0.762587900143907,-0.317491046860129,-1,0.511594061532923,-0.760720313379793,0.706297057245409,0.861783372641214,-0.631016651510607,0.000708469911750151,0.000300742731182327,0.00132623014519462,0.000742751793981282,0.000972392262997385,0.000891376481601608,0.00107400836187232,0.000717954035191885,21.7381836105646,1
2,0,15,0,4.33921813964844e-05,0.000121116638183594,2.14576721191406e-05,3.52859497070312e-05,0.000108242034912109,0.000136852264404297,9.63211059570312e-05,-0.816390674801211,0.33177598904793,-1,0.536080161951181,-0.836886830024903,0.727502474748486,0.903670007246695,0.615744088379334,0.000376687992316976,0.000159183378377945,0.000684305419054204,0.000388834164865331,0.000515804505055111,0.000469813193582452,0.000584624197255253,0.000378889639060912,16.4967599769377,1
2,0,15,0,4.33921813964844e-05,0.000124931335449219,3.14712524414062e-05,5.14984130859375e-05,0.000102996826171875,0.000135421752929688,0.000102043151855469,-0.795519149029652,0.328552283252314,-1,0.506681913047895,-0.801669171148735,0.7161169694449,0.890994400373889,-0.629020569412784,0.000799930635157041,0.000341727343807272,0.00148404062235461,0.000842468258553723,0.00109629108994362,0.00101290121247173,0.00121765763618007,0.000817800574739905,23.6533191690052,1
3,0,22.5,0,4.00543212890625e-05,9.20295715332031e-05,5.05447387695312e-05,4.76837158203125e-07,4.1961669921875e-05,8.44001770019531e-05,4.62532043457031e-05,-0.61297185216289,0.442392817490758,-1,0.677716859916578,-0.71494601717565,0.734130469489489,-0.868459234965595,0.636966727596403,0.000600025915580473,0.000272476287222272,0.00115706757182377,0.000662062337036273,0.00083936318490574,0.000801885801908379,0.000964992694634138,0.000645006296034626,19.4198616187681,1
3,0,22.5,0,6.43730163574219e-05,8.86917114257812e-05,4.67300415039062e-05,7.62939453125e-06,3.29017639160156e-05,7.86781311035156e-05,4.00543212890625e-05,-0.600634117377439,0.437987256052675,-1,0.668896722879885,-0.712461262890274,0.711853477826882,-0.874686629231811,0.618313221705402,0.000786751212734206,0.000346815848066918,0.00151952569316852,0.000848125458276816,0.00109314321645505,0.00101616067111793,0.0012454848431575,0.000820055930886675,22.1413700439205,1
