Loc,theta,z,ToA_S1,ToA_S2,ToA_S3,ToA_S4,ToA_S5,ToA_S6,ToA_S7,ToA_S8,Amplitude_S1,Amplitude_S2,Amplitude_S3,Amplitude_S4,Amplitude_S5,Amplitude_S6,Amplitude_S7,Amplitude_S8,SignalEnergy_S1,SignalEnergy_S2,SignalEnergy_S3,SignalEnergy_S4,SignalEnergy_S5,SignalEnergy_S6,SignalEnergy_S7,SignalEnergy_S8,Force_N,Impact_Type
1,0,7.5,0,3.14712524414062e-05,6.15119934082031e-05,4.38690185546875e-05,0.000100135803222656,0.000166893005371094,0.000101089477539062,0.000101566314697266,-1,-0.291136961196314,-0.776090686503739,0.605842612995743,-0.789832500169434,-0.631807588176286,0.8405344107336,-0.596628020398067,0.00161256166805188,0.000524057697793242,0.00241454996867057,0.00152316082974734,0.00191057125593146,0.00184810457392678,0.0019082893999042,0.00141197703930804,40.8891485686499,1
1,0,7.5,0,4.38690185546875e-05,6.19888305664062e-05,4.29153442382812e-05,0.000102043151855469,0.000174522399902344,0.000105857849121094,0.000101566314697266,-1,-0.259516059118072,-0.733711523781132,0.514562795480029,-0.733729399164042,-0.558773253986995,0.790194371011505,-0.521977259403285,0.00140880642728888,0.000413974466886588,0.00200870675706486,0.00119787711412145,0.00159721753788458,0.00145759008686146,0.0016168586678546,0.0011129573831759,37.6536252336915,1
1,0,7.5,0,2.288818359375e-05,4.52995300292969e-05,3.14712524414062e-05,9.39369201660156e-05,0.000158786773681641,8.392333984375e-05,0.000156402587890625,-1,-0.246813163790096,-0.689015990579953,0.434020667451895,-0.659414333563299,0.469322633307327,0.689775492207699,-0.455211183021643,0.000922292043531613,0.00023652952962228,0.00120142615909366,0.000664182133652337,0.000958533168980222,0.000817255759678537,0.00100552923552965,0.000630410705421741,30.0703674173829,1
1,0,7.5,0,2.95639038085938e-05,9.63211059570312e-05,3.19480895996094e-05,9.72747802734375e-05,0.000162601470947266,0.000170707702636719,0.000154018402099609,-1,-0.252139772033144,-0.69198270690158,0.46010083836846,-0.644796776522918,0.477138496996017,0.672021020888263,-0.467118759841413,0.000828057819853474,0.000221543859878636,0.00109179342652485,0.000621805069355287,0.00086217903567169,0.000769539254850805,0.000895087147444648,0.000590741528381113,29.2614865836433,1
2,0,15,0,5.14984130859375e-05,2.76565551757812e-05,1.38282775878906e-05,4.67300415039062e-05,0.000103473663330078,0.000137805938720703,4.81605529785156e-05,-0.714025517091583,0.290900634088528,-1,0.474987615029478,-0.725401020586229,0.693825789190798,0.859754480817738,-0.553415208871036,0.000931988586847691,0.000357185693250944,0.00175158969346177,0.000948967884572308,0.00130885821434781,0.00116122533775843,0.00143070811851505,0.00091431410959184,26.8348440824246,1
2,0,15,0,3.00407409667969e-05,0.000141620635986328,2.33650207519531e-05,5.53131103515625e-05,6.91413879394531e-05,0.000136375427246094,6.77108764648438e-05,-0.727124302784184,0.293927758681993,-1,0.552224694979583,-0.716288780532654,0.71580426842816,0.846354719528434,-0.586002283308079,0.000906303562316986,0.00036174678783773,0.00171367229799728,0.000974948167445715,0.00126695789212224,0.0011917580165402,0.00135436950655595,0.000932992867370368,27.3403946035118,1
2,0,15,0,4.10079956054688e-05,0.0001068115234375,3.4332275390625e-05,5.14984130859375e-05,6.62803649902344e-05,0.000140666961669922,8.48770141601562e-05,-0.723808312611548,0.278403968048654,-1,0.493076222225714,-0.707239937315257,0.698157215730381,0.878504014821924,-0.58316011049249,0.00152204327159371,0.00055746558278135,0.0028453554149632,0.00152983730639561,0.00213786105878088,0.00184101625826702,0.00230099691071379,0.0014303480054361,33.8114412734285,1
2,0,15,0,1.95503234863281e-05,8.44001770019531e-05,1.66893005371094e-05,3.86238098144531e-05,0.000100135803222656,0.000126838684082031,0.000106334686279297,-0.75067476661349,0.30559391565891,-1,0.528782891765974,-0.762322838379864,0.714867402749444,0.865442172549185,-0.57901832088527,0.00086624695797814,0.000338844907877007,0.00162256668528155,0.000904502752762747,0.00120959605760179,0.0011146769838795,0.00130803268001423,0.00087479332593142,26.5315137697722,1
3,0,22.5,2.86102294921875e-06,2.38418579101562e-06,9.63211059570312e-05,1.95503234863281e-05,1.04904174804688e-05,0,9.5367431640625e-05,2.43186950683594e-05,-0.598028879516032,0.418630019462702,-1,0.634339451382576,-0.695164546930991,0.74694959327446,-0.860253696506289,0.608440603973412,0.00134325811750503,0.000553584733412449,0.00260723512905763,0.00146287189019233,0.0019231540936334,0.00177357924555156,0.00218058097068148,0.00140517038605796,30.8792482511225,1
3,0,22.5,0,3.14712524414062e-05,8.34465026855469e-05,2.90870666503906e-05,3.814697265625e-06,3.33786010742188e-06,7.91549682617188e-05,5.7220458984375e-06,-0.603937129320295,0.419876562646448,-1,-0.643715582659217,-0.683469952645124,0.751204953526206,-0.848266729952858,0.612418837689538,0.00116271382904071,0.00047987909857919,0.00226499030667034,0.00127361777687114,0.00165402151372374,0.00153362026996647,0.00185251374628249,0.00121614077782227,28.8570461667736,1
3,0,22.5,0,4.33921813964844e-05,8.392333984375e-05,3.67164611816406e-05,1.43051147460938e-06,6.19888305664062e-06,7.91549682617188e-05,2.47955322265625e-05,-0.593864197408107,0.398432910969436,-1,-0.624851380891907,-0.688141694202663,0.740861191161905,-0.847295124594766,0.607208713874655,0.00105519128491936,0.000439447145223439,0.00205898118079467,0.00115993377743126,0.00150879881308854,0.00140974309954315,0.00169631610720319,0.00112001148897495,27.7448350203816,1
3,0,22.5,0,3.814697265625e-06,1.43051147460938e-05,2.76565551757812e-05,7.15255737304688e-06,1.43051147460938e-05,1.33514404296875e-05,1.38282775878906e-05,-0.591115249866699,0.39007653393455,-1,-0.616317889696792,-0.669602673883823,0.70970118809631,-0.830729526470503,0.596765889914153,0.00123688518401545,0.000504472051963685,0.00240473185543283,0.0013464802799736,0.00175018477114616,0.0016028244286767,0.00196171867342256,0.00126945177860753,29.7670371047306,1
4,0,30,3.76701354980469e-05,9.96589660644531e-05,0.000121116638183594,9.20295715332031e-05,1.9073486328125e-06,0,1.38282775878906e-05,1.04904174804688e-05,-0.573990588028888,0.364297535693205,1,-0.629567840106591,-0.801994278300142,0.537724141186091,-0.928555180283143,0.59315835303962,0.00184032081500232,0.000683636207846237,0.00344028044532655,0.00186901262441397,0.00266577700304647,0.00223892839806716,0.00292676121239479,0.00175122496936073,37.4514050252566,1
4,0,30,6.15119934082031e-05,0.000112533569335938,0.000142097473144531,0.000102519989013672,0,4.1961669921875e-05,0.000111103057861328,4.43458557128906e-05,-0.597015375997539,0.341103291129269,1,-0.62250147784733,-0.817069901981775,0.55058373789744,-0.932265138752519,0.593794316642317,0.00118820032468154,0.000460305595556988,0.0022451361585835,0.0012456627460058,0.00174227781966603,0.00152198155751651,0.00188448040180064,0.00118840254571085,30.7781381469051,1
4,0,30,3.86238098144531e-05,0.000106334686279297,0.00011444091796875,7.96318054199219e-05,0,1.1444091796875e-05,2.71797180175781e-05,1.38282775878906e-05,-0.578989604461483,0.370493437274689,1,-0.596004999330304,-0.793025024753072,0.53408363439619,-0.937816900684404,0.572904982712828,0.00141226495029816,0.000528233209834157,0.00263690871084878,0.00142344916724827,0.00206096362428851,0.0017240897512004,0.00227190152674385,0.00135343575026422,32.800340231254,1
4,0,30,3.24249267578125e-05,9.96589660644531e-05,0.000118732452392578,6.72340393066406e-05,0,1.00135803222656e-05,1.95503234863281e-05,1.09672546386719e-05,-0.574582189402316,0.370306825746551,1,-0.607853664495626,-0.811698897064038,0.527904628285205,-0.931196768822095,0.555961148237671,0.00191882346378676,0.000710517089029004,0.00357749909906283,0.00193847755036359,0.00279633788137804,0.00230886468100778,0.00309394938652451,0.00181799101868672,37.8558454421264,1
5,0,37.5,6.96182250976562e-05,0.00012969970703125,6.96182250976562e-05,0.00012969970703125,0,1.00135803222656e-05,3.00407409667969e-05,1.00135803222656e-05,-0.534509692407744,0.259815901764139,0.734346391659064,-0.424899380113697,-1,-0.405408739165684,-0.644528751312957,-0.402731265212001,0.00103024332160522,0.000355439482636188,0.00182934954761294,0.000952387125031342,0.00188555994421649,0.00117622241608356,0.00168263638094238,0.000927040956945555,36.9458545041694,1
5,0,37.5,8.82148742675781e-05,0.000133991241455078,0.000203132629394531,0.000139236450195312,6.67572021484375e-06,0,4.05311584472656e-05,1.28746032714844e-05,-0.474898251772252,0.211749483470244,0.647496164743829,-0.381302330308673,-1,-0.367793225954433,-0.601998603521802,0.344660038862069,0.000778514011096645,0.00026866184906929,0.0013902119680155,0.000721886382795584,0.00149318080921822,0.000892590152676876,0.0012946434467779,0.000705548726343936,34.3169917945157,1
5,0,37.5,0.000117301940917969,0.000174045562744141,0.000233650207519531,0.000179767608642578,0,4.81605529785156e-05,6.34193420410156e-05,3.91006469726562e-05,-0.495966602934824,0.223725892158133,0.681642487989001,-0.409173893021886,-1,-0.409136894768673,-0.623193113969781,0.373180353559165,0.000839877370359936,0.000294426746611564,0.00150918680265709,0.000793831240777312,0.00157030564227234,0.000992245617704741,0.0013694413291218,0.000776553545637928,34.5192120029506,1
