Loc,theta,z,ToA_S1,ToA_S2,ToA_S3,ToA_S4,ToA_S5,ToA_S6,ToA_S7,ToA_S8,Amplitude_S1,Amplitude_S2,Amplitude_S3,Amplitude_S4,Amplitude_S5,Amplitude_S6,Amplitude_S7,Amplitude_S8,SignalEnergy_S1,SignalEnergy_S2,SignalEnergy_S3,SignalEnergy_S4,SignalEnergy_S5,SignalEnergy_S6,SignalEnergy_S7,SignalEnergy_S8,Force_N,Impact_Type
1,0,7.5,0,8.91685485839844e-05,0.000112056732177734,9.48905944824219e-05,0.000158786773681641,0.000202178955078125,0.000206947326660156,0.000179767608642578,-1,0.1447917013744,-0.123073735600083,-0.0337228821983582,-0.135410984085867,0.156346199551845,-0.123271934835505,0.142892550920644,0.00010412681843397,1.79049462664537e-06,1.3180777152503e-06,3.52311557875592e-07,1.35320785971171e-06,2.32685388606441e-06,1.32650689133302e-06,1.60606939644555e-06,11.9716587624597,0
1,0,7.5,0,7.39097595214844e-05,8.58306884765625e-05,6.77108764648438e-05,0.000130653381347656,0.000185489654541016,0.000218868255615234,0.000202655792236328,-1,0.145900526766395,-0.121497312012132,-0.0525776893672054,-0.124945477413369,0.159932894739498,-0.118448610221259,0.129122216073689,5.3220077956649e-05,9.78417417771679e-07,6.28583769026725e-07,2.64474299190827e-07,5.59027627663123e-07,1.0083583480004e-06,5.78008141885174e-07,6.78852817464734e-07,8.3316950106316,0
1,0,7.5,0,9.58442687988281e-05,0.000118255615234375,7.48634338378906e-05,0.000184059143066406,0.000203132629394531,0.000212192535400391,0.000179290771484375,-1,0.171374515696889,-0.122211208787588,-0.0449228678560811,-0.131854797847768,0.156810355287679,-0.117874325383088,0.122135939982978,0.000117866778610687,3.13152833824934e-06,1.66091310701668e-06,6.49398874146664e-07,1.5108447629374e-06,2.73048246403027e-06,1.54864172210806e-06,1.81683741995214e-06,13.5894204299389,0
1,0,7.5,0,0.000107765197753906,0.000113487243652344,0.000113487243652344,0.000168800354003906,0.000177383422851562,0.000212669372558594,0.000210285186767578,-1,0.172791912492882,-0.12311712021931,-0.0431917077794036,-0.137544386637461,0.162273539655637,-0.121569763741321,0.129051639017463,0.000101153978515317,2.94699094352487e-06,1.80000672708482e-06,8.03420365914028e-07,1.81731153714813e-06,3.10560600305799e-06,1.79704412871251e-06,2.14352822949405e-06,13.0838699088517,0
2,0,15,0,6.58035278320312e-05,0.000126838684082031,8.67843627929688e-05,7.77244567871094e-05,0.000113964080810547,0.000160694122314453,0.000101089477539062,-1,0.40013942410009,-0.292287676194771,0.323322724823882,-0.480082285225866,0.557651019870169,-0.328737019494936,0.431866054630697,6.58921532671095e-05,1.24182602216892e-05,1.37177567464876e-05,1.44389208120868e-05,1.82659181133504e-05,2.61734376985663e-05,1.47377265042092e-05,1.90124026930586e-05,17.8360448070717,0
2,0,15,0,3.38554382324219e-05,0.0001068115234375,2.71797180175781e-05,0.000103473663330078,9.87052917480469e-05,0.000112533569335938,9.67979431152344e-05,-1,0.362413376528131,-0.2277913291462,0.29555594251827,-0.41339031184171,0.511747671837014,-0.287876361542609,0.399160234664182,3.25093019240856e-05,4.99146508492197e-06,3.90324462987731e-06,4.77061987730868e-06,6.88148918438942e-06,9.99620507254102e-06,4.53184495572966e-06,6.79864146629314e-06,13.2860901172866,0
2,0,15,0,7.58171081542969e-05,0.000134944915771484,9.34600830078125e-05,0.000132083892822266,0.000155448913574219,0.000218391418457031,0.000108718872070312,-1,0.382234907711332,-0.225625169546572,0.258465056813359,-0.404746140939447,0.510362702604902,-0.287420181936561,0.380257601217827,2.64701711636101e-05,4.30345576356449e-06,2.55230031392163e-06,2.72897571647115e-06,4.96757268061656e-06,7.45412751490755e-06,3.06049393524927e-06,4.67148328003572e-06,12.0727688666772,0
2,0,15,0,2.86102294921875e-05,0.000111103057861328,7.43865966796875e-05,8.82148742675781e-05,0.0001068115234375,0.00012969970703125,9.44137573242188e-05,-1,0.42406076738534,-0.242071494179193,0.249966021809153,-0.439442071839813,0.550865114651914,-0.305066565131031,0.402786917011385,4.52614349491822e-05,9.58435635221681e-06,8.23478902973661e-06,7.96992773697421e-06,1.16217806384004e-05,1.72875882117991e-05,8.82539306916676e-06,1.17862652711161e-05,15.8138427227228,0
3,0,22.5,2.95639038085938e-05,6.96182250976562e-05,0.000161170959472656,0.000116825103759766,0,5.91278076171875e-05,0.0001068115234375,6.43730163574219e-05,-0.901617140979734,0.536325695228755,-0.438459930061781,0.709517861034921,-0.998564542876087,1,-0.481434356701691,0.735311514458115,8.90138089951447e-06,3.44529721296053e-06,2.96974581487508e-06,6.05437755985892e-06,1.14888768621622e-05,1.20175682053895e-05,3.12956191700806e-06,6.73031544147569e-06,11.7694385540248,0
3,0,22.5,4.29153442382812e-06,5.81741333007812e-05,0.000139713287353516,4.91142272949219e-05,0,8.91685485839844e-05,8.82148742675781e-05,5.43594360351562e-05,-0.941361722395334,0.535209344904917,-0.475383649578305,0.749335240888156,-1,0.988202559319308,-0.514680492651404,0.780471261518289,1.71349293551107e-05,6.68518627716388e-06,8.09508053841759e-06,1.37613247806843e-05,2.04102158246268e-05,2.22863381704089e-05,8.32594125581321e-06,1.48703152890955e-05,14.8027416805483,0
