Loc,theta,z,ToA_S1,ToA_S2,ToA_S3,ToA_S4,ToA_S5,ToA_S6,ToA_S7,ToA_S8,Amplitude_S1,Amplitude_S2,Amplitude_S3,Amplitude_S4,Amplitude_S5,Amplitude_S6,Amplitude_S7,Amplitude_S8,SignalEnergy_S1,SignalEnergy_S2,SignalEnergy_S3,SignalEnergy_S4,SignalEnergy_S5,SignalEnergy_S6,SignalEnergy_S7,SignalEnergy_S8,Force_N,Impact_Type
1,0,7.5,0,1.1444091796875e-05,4.05311584472656e-05,1.9073486328125e-05,0.000159740447998047,0.000156879425048828,0.000198841094970703,0.000154495239257812,-1,0.1630118791412,-0.170140020146756,0.0960281847602536,-0.161667014556876,0.201748066134464,-0.18858333501011,0.194641913515291,0.000103323283652413,2.60182586044285e-06,9.22139926729272e-06,2.87676624854213e-06,3.77273984533667e-06,5.10465078796087e-06,4.19147744846742e-06,4.11874745844814e-06,13.9768447684632,0
1,0,7.5,0,9.5367431640625e-06,4.38690185546875e-05,1.04904174804688e-05,8.58306884765625e-05,0.000132560729980469,0.0001983642578125,0.000133991241455078,-1,0.197284712684588,-0.191126050097676,0.102448752630508,-0.172952517477404,0.240427952513553,-0.219659842901002,0.224390349911526,0.000101676115120602,3.99410443509095e-06,1.12504292739785e-05,3.78116570881474e-06,5.20468598892639e-06,7.17689394708492e-06,5.60884296037474e-06,5.70364985691383e-06,16.0935735435818,0
1,0,7.5,0,0.000119209289550781,6.72340393066406e-05,9.72747802734375e-05,0.000128269195556641,0.000195026397705078,0.000224113464355469,0.000178813934326172,-1,0.160379844854417,-0.157883510361606,0.0822713405705095,-0.145150315714596,0.192859071078728,-0.184865723901108,0.186008627993065,0.000107776474963547,2.93634511723364e-06,9.45207001904579e-06,2.96948234920885e-06,3.96971409605997e-06,5.50227389892288e-06,4.39571822402191e-06,4.41587657682409e-06,14.783217635175,0
1,0,7.5,0,1.57356262207031e-05,3.24249267578125e-05,2.81333923339844e-05,0.000101566314697266,0.000151634216308594,0.000158309936523438,0.000141620635986328,-1,0.153776398045754,-0.168320723827915,0.0869409244524095,-0.130955899792197,0.196364529574181,-0.17478969223105,0.186003036433284,0.000154261379361026,3.95413012376073e-06,1.24773115269172e-05,3.45494860943753e-06,5.17483684577352e-06,7.46431881114474e-06,5.65505441464133e-06,5.93369185853792e-06,17.9079124936834,0
2,0,15,0,5.38825988769531e-05,5.67436218261719e-05,3.19480895996094e-05,3.76701354980469e-05,0.000114917755126953,0.000141620635986328,0.000109672546386719,-1,0.40113016223776,-0.399995110896837,0.482026401387292,-0.449673294411561,0.568239770323696,-0.501020003805005,0.509857398176572,3.87570777283448e-05,6.07275757080458e-06,1.42476858984204e-05,1.15956139153519e-05,1.20992373873181e-05,1.58892180049852e-05,1.11071181676538e-05,1.23168826069902e-05,15.9927769352428,0
2,0,15,0,4.33921813964844e-05,6.103515625e-05,3.57627868652344e-05,3.62396240234375e-05,9.96589660644531e-05,0.000134468078613281,9.918212890625e-05,-1,0.356150189087213,-0.371215020796985,0.463249300582848,-0.4504952539516,0.551799833192107,-0.467283526459422,0.487729904781587,5.29805539114201e-05,7.32568473165664e-06,1.74050185243577e-05,1.52034972073973e-05,1.55399266433391e-05,1.97922972677885e-05,1.3133621204005e-05,1.53848456461616e-05,18.8150819687342,0
2,0,15,0,5.24520874023438e-06,1.81198120117188e-05,1.9073486328125e-06,3.91006469726562e-05,9.67979431152344e-05,0.000143527984619141,0.000107288360595703,-1,0.352477037664313,-0.367032463602579,0.435556940422348,-0.427985687945884,0.519822273977332,-0.454423982301879,0.465673202033756,5.54038433642277e-05,7.22085368437766e-06,1.69007832871139e-05,1.36794520590602e-05,1.47275443345535e-05,1.86433142802379e-05,1.27367059894067e-05,1.4398972662275e-05,18.7142853603952,0
2,0,15,0,4.76837158203125e-05,2.52723693847656e-05,1.09672546386719e-05,3.76701354980469e-05,0.000104427337646484,0.000137805938720703,0.000103950500488281,-1,0.362068915800873,-0.354042524982711,0.41313248814832,-0.425217632852759,0.512236385975018,-0.440810263628207,0.464799464782052,6.09528354704646e-05,9.23576893704309e-06,2.00488109129566e-05,1.59566403234069e-05,1.75008416036433e-05,2.30067763226073e-05,1.54114006886284e-05,1.75433140392243e-05,19.823048052124,0
3,0,22.5,0,6.05583190917969e-05,8.86917114257812e-05,4.76837158203125e-05,7.15255737304688e-06,5.19752502441406e-05,6.4849853515625e-05,4.00543212890625e-05,-0.833058544952604,0.555656867577081,-0.687742470613027,0.839074008644248,-0.926781691142846,1,-0.71132004856424,0.887136232462274,1.7020730199529e-05,7.35738578905999e-06,1.58403293824586e-05,1.8764035666448e-05,2.39997470408381e-05,2.57975732312272e-05,1.40057265432561e-05,1.91823971437746e-05,16.6983531936156,0
3,0,22.5,0,3.86238098144531e-05,7.96318054199219e-05,2.90870666503906e-05,2.38418579101562e-06,3.0517578125e-05,7.29560852050781e-05,2.86102294921875e-05,-0.91964132248863,0.520005142434031,-0.63226366193973,0.809932434260728,-1,0.970580096437404,-0.65533071872517,0.843145830113313,2.64258067163658e-05,1.0066073502623e-05,2.06479977099779e-05,2.52332728589014e-05,3.58193222971133e-05,3.63533792661574e-05,1.74090549928717e-05,2.60636314148317e-05,21.0326073521918,0
3,0,22.5,0,3.67164611816406e-05,9.58442687988281e-05,4.10079956054688e-05,1.9073486328125e-06,5.10215759277344e-05,5.67436218261719e-05,3.91006469726562e-05,-0.995173031969258,0.588322182391291,-0.711842441388923,0.820396837377187,-0.995121855046617,1,-0.722217565742091,0.880557899114964,2.7821995327708e-05,1.11741326233728e-05,2.29854772303037e-05,2.54047866271831e-05,3.33593257529592e-05,3.74104593801511e-05,1.9635646202787e-05,2.59724065392463e-05,20.1254378771409,0
3,0,22.5,0,4.9591064453125e-05,9.29832458496094e-05,6.103515625e-05,2.38418579101562e-06,6.24656677246094e-05,8.7738037109375e-05,5.48362731933594e-05,-0.951902132663626,0.555859276501379,-0.703877746887954,0.824647279266439,-0.987152854442764,1,-0.699734647135236,0.880605165116224,2.25881374790451e-05,9.50681551722935e-06,1.99581302156457e-05,2.30604497105127e-05,3.06584632307752e-05,3.31629641644853e-05,1.71305492210493e-05,2.37486682732868e-05,18.8150819687342,0
4,0,30,9.05990600585938e-05,0.000116825103759766,0.000129222869873047,9.48905944824219e-05,0,4.10079956054688e-05,0.000139713287353516,3.4332275390625e-05,-0.35634694603859,0.308541249368144,-0.471861518151831,0.493048476393791,-1,0.72652687657734,-0.3691039378781,0.500585719672494,1.11760761642222e-05,6.60758411889532e-06,1.55554994516184e-05,1.64222207038098e-05,6.35935981071085e-05,3.34833152044792e-05,1.36850751935776e-05,1.7207185560429e-05,19.1174717937512,0
4,0,30,4.43458557128906e-05,9.63211059570312e-05,0.000135898590087891,9.1552734375e-05,0,3.86238098144531e-05,0.000125408172607422,4.00543212890625e-05,-0.38097239261278,0.31077427716881,-0.478147657067486,0.481948653516806,-1,0.707596668999499,-0.375198110672505,0.508351896611946,1.13224809542824e-05,6.84312835695432e-06,1.61207674019974e-05,1.71629272482187e-05,5.61419868568789e-05,3.24293205328198e-05,1.42626008345935e-05,1.83374767354601e-05,18.3110989270393,0
4,0,30,4.52995300292969e-05,0.000111579895019531,0.000144004821777344,0.00011444091796875,0,1.43051147460938e-05,0.000112056732177734,2.24113464355469e-05,-0.353707681123531,0.280331740691416,-0.396680359901001,0.467118790035484,-1,0.609511520164971,-0.323607530852024,0.504826459951659,1.08459002691518e-05,6.31252325056819e-06,1.4355858415604e-05,1.7165599221594e-05,6.83303468258176e-05,2.91349517587551e-05,1.28524427941731e-05,2.04723593525301e-05,19.621454835446,0
4,0,30,6.19888305664062e-05,0.000116348266601562,0.000148773193359375,0.000104904174804688,0,3.29017639160156e-05,7.00950622558594e-05,2.71797180175781e-05,-0.372312640236123,0.262332089901736,-0.368226359148998,0.434665732222495,-1,0.581832127078944,-0.306800926908443,0.455495019557995,2.11997833584121e-05,1.18304348333633e-05,2.81405269328339e-05,3.14163877655601e-05,0.000122959558125842,5.52847407567797e-05,2.49772886085591e-05,3.60751022010697e-05,25.1652682940899,0
5,0,37.5,0.000157833099365234,0.000235080718994141,0.00022125244140625,0.000158309936523438,0,3.814697265625e-05,0.000123023986816406,5.62667846679688e-05,-0.127750050878724,0.127372226202426,-0.201264640095648,0.195172548857538,-1,0.239090255037572,-0.186052712311824,0.130009418978989,3.40272378949778e-06,2.36184796525126e-06,6.13920680208792e-06,6.10498384998192e-06,0.000131229830201887,9.50262731547643e-06,6.49385769273609e-06,4.45437781756925e-06,16.4967599769377,0
5,0,37.5,0.000234127044677734,0.000203609466552734,0.000278472900390625,0.000201225280761719,0,8.29696655273438e-05,0.000102043151855469,6.05583190917969e-05,-0.126836798255312,0.122627174312415,-0.203750618297615,0.190694098150651,-1,0.197434273619954,-0.18000401371752,0.162338757067681,4.01098249822235e-06,2.56012175669891e-06,7.10209129131229e-06,6.85699574892596e-06,0.000167142006442808,8.24473163112803e-06,7.51703823530805e-06,5.63060531680934e-06,17.9079124936834,0
