Loc,theta,z,ToA_S1,ToA_S2,ToA_S3,ToA_S4,ToA_S5,ToA_S6,ToA_S7,ToA_S8,Amplitude_S1,Amplitude_S2,Amplitude_S3,Amplitude_S4,Amplitude_S5,Amplitude_S6,Amplitude_S7,Amplitude_S8,SignalEnergy_S1,SignalEnergy_S2,SignalEnergy_S3,SignalEnergy_S4,SignalEnergy_S5,SignalEnergy_S6,SignalEnergy_S7,SignalEnergy_S8,Force_N,Impact_Type
1,0,7.5,0,6.96182250976562e-05,0.000112533569335938,0.000103950500488281,0.000190258026123047,0.000220298767089844,0.000226497650146484,0.000219345092773438,-1,0.0821650772211424,-0.0855667300654205,-0.0233904031958142,-0.0970104012351391,0.103779881368841,-0.0895772639317191,0.0879145914697995,0.000259067251315071,3.28618516606748e-06,8.17118983220429e-06,4.44430469390039e-06,5.51412071285473e-06,7.86946337020581e-06,6.1726470709934e-06,6.34149986489995e-06,17.7063192770054,0
1,0,7.5,0,7.82012939453125e-05,0.000182628631591797,8.44001770019531e-05,0.000143051147460938,0.000191688537597656,0.000298976898193359,0.000270843505859375,-1,0.123460271247193,-0.0836771586422663,-0.0347604866193847,-0.0961194053526194,0.116321649452314,-0.0885324500430437,0.089898718187543,0.000262023187446802,7.87009679010454e-06,1.50646332911179e-05,1.04812305734926e-05,1.03202646676185e-05,1.44898136177993e-05,1.14323847409152e-05,1.22454268406326e-05,19.823048052124,0
1,0,7.5,0,9.72747802734375e-05,0.000113010406494141,7.82012939453125e-05,0.000176429748535156,0.000206947326660156,0.000207901000976562,0.000223636627197266,-1,0.11760224610365,-0.0887307006866975,-0.0380286617089479,-0.0995623783653293,0.109528647880035,-0.0924417721066687,0.0868399549438376,0.000183598938705719,3.60120518390937e-06,6.8644805800549e-06,3.28324186397752e-06,3.55262637631222e-06,5.25192288314971e-06,4.03269147701201e-06,4.13331148365948e-06,16.4967599769377,0
1,0,7.5,0,9.05990600585938e-05,0.000111579895019531,7.34329223632812e-05,0.000188827514648438,0.000230789184570312,0.000217914581298828,0.000227928161621094,-1,0.1138657483718,-0.080804218063793,-0.0330684660425024,-0.0951161498822087,0.112947396496195,-0.0882872797100454,0.0897834593586004,0.000286832324498029,1.12909796215064e-05,2.54917740903951e-05,1.92945389962737e-05,1.85370406722457e-05,2.511985751183e-05,2.04717185131258e-05,2.1569316945257e-05,20.5286243104969,0
2,0,15,0,7.67707824707031e-05,0.000149726867675781,6.72340393066406e-05,0.000103473663330078,0.000128746032714844,0.000202178955078125,0.000191211700439453,-1,0.349936848783953,-0.173179950551764,0.192410495366949,-0.356075836238973,0.434009748387633,-0.248424475538074,0.326325699401462,5.42449174612599e-05,9.1222495626804e-06,1.12575090500218e-05,8.71688120851836e-06,1.1572979550812e-05,1.66535698829695e-05,1.00107036195829e-05,1.20228074274827e-05,17.4039294519885,0
2,0,15,0,6.103515625e-05,0.000128746032714844,9.5367431640625e-05,0.000162124633789062,0.000111103057861328,0.000216484069824219,0.000161170959472656,-1,0.374600294097088,-0.187370888583358,0.231500911345739,-0.399454529210191,0.477715086848974,-0.260438416836863,0.36119563950618,8.62460984002287e-05,2.49031959660935e-05,4.8427699600463e-05,4.35759200774139e-05,4.35234706715858e-05,5.8390456546631e-05,4.32980575479772e-05,4.8277253171698e-05,20.4278277021579,0
2,0,15,0,5.29289245605469e-05,0.000109195709228516,9.29832458496094e-05,0.000101089477539062,0.000132083892822266,0.000199794769287109,0.000187873840332031,-1,0.395468117417755,-0.190196148538437,0.24540366707385,-0.421292255767536,0.508257230787838,-0.275553600689973,0.374298886277898,7.66094519238029e-05,2.37244825736132e-05,4.48320981175765e-05,4.06797221597967e-05,4.10115496577802e-05,5.52414410546567e-05,4.01106136461156e-05,4.50997358508295e-05,20.2262344854799,0
2,0,15,0,6.53266906738281e-05,0.000137805938720703,8.48770141601562e-05,0.000136375427246094,0.000155448913574219,0.000217437744140625,0.000230789184570312,-1,0.426090920494702,-0.183735550911751,0.148375757106386,-0.369885719601708,0.475079595876031,-0.26212302857535,0.335467074763316,6.38747837269901e-05,1.76030627314033e-05,2.52013547604209e-05,2.10592073188876e-05,2.29467025794993e-05,3.24295648545912e-05,2.1875027901204e-05,2.55422108926227e-05,19.3190650104291,0
3,0,22.5,6.62803649902344e-05,7.96318054199219e-05,0.000141620635986328,5.29289245605469e-05,0,5.29289245605469e-05,0.000135898590087891,0.000102519989013672,-0.876955699784867,0.541465292570053,-0.407573793930861,0.678595021987524,-0.991723741556416,1,-0.463821371084788,0.691730690766907,4.53478252978985e-05,2.52442927744466e-05,5.08641188125203e-05,5.48224439233574e-05,6.50310028034388e-05,7.8564285069058e-05,4.78332093931364e-05,5.64470903384947e-05,20.7302175271748,0
3,0,22.5,4.62532043457031e-05,6.38961791992188e-05,0.000125408172607422,3.95774841308594e-05,0,3.86238098144531e-05,0.000119686126708984,4.67300415039062e-05,-0.963575032288806,0.526260448341995,-0.410633604010064,0.731004411625733,-1,0.975739232321662,-0.478215493052359,0.750155680550721,1.46345546268816e-05,6.12123541557328e-06,9.75045972600286e-06,1.29312264849084e-05,1.80861886866994e-05,2.00074723403126e-05,9.22881697342041e-06,1.34877115520338e-05,14.6824210268361,0
3,0,22.5,8.58306884765625e-06,2.57492065429688e-05,8.86917114257812e-05,4.10079956054688e-05,4.76837158203125e-06,0,9.01222229003906e-05,4.52995300292969e-05,-0.918084597073011,0.501445940141218,-0.463308255661553,0.78157088914311,-1,0.930993147735796,-0.505599861633478,0.78246457603835,0.000123024238660875,6.89202878142136e-05,0.00018380677284693,0.000173619173467328,0.000180002450960211,0.000213816083629287,0.000171396406564507,0.000175217055820635,23.2501327356493,0
3,0,22.5,0,5.05447387695312e-05,0.000112533569335938,1.95503234863281e-05,2.14576721191406e-05,2.00271606445312e-05,5.19752502441406e-05,1.81198120117188e-05,-0.969484268663972,0.511241753722203,-0.406987107633658,0.777486098212291,-1,0.939479853874927,-0.475820044278232,0.78389025246292,2.42096078765967e-05,1.11597795309303e-05,2.19679724582881e-05,2.72013798568438e-05,3.10465824353474e-05,3.56792190150307e-05,2.09252697558117e-05,2.76952209967922e-05,16.5975565852767,0
4,0,30,8.72611999511719e-05,0.000164031982421875,0.000192165374755859,0.00018310546875,0,6.43730163574219e-05,0.000216007232666016,4.33921813964844e-05,-0.363024089233719,0.290012034379188,-0.261267701679206,0.39221166911283,-1,0.712330241360975,-0.268690943260978,0.368422337529294,4.60325551955717e-06,3.19023253109018e-06,5.05931664678647e-06,6.43165495603354e-06,3.16045330013306e-05,1.84320130270685e-05,4.87985345848012e-06,6.05986716046798e-06,13.9768447684632,0
4,0,30,0.000124454498291016,0.000152111053466797,0.000212669372558594,0.000139713287353516,0,6.58035278320312e-05,0.000144481658935547,8.20159912109375e-05,-0.391448845397572,0.299561826742302,-0.295612489792847,0.407029641655246,-1,0.759221822512528,-0.293231349075016,0.411192124441538,9.27728182425327e-06,6.6777257166256e-06,1.17804575997522e-05,1.43183744510456e-05,4.66705106716199e-05,3.18840265442139e-05,1.12174529888233e-05,1.40676346485993e-05,16.6983531936156,0
4,0,30,0.000134944915771484,0.000132560729980469,0.000200271606445312,0.000162601470947266,0,6.29425048828125e-05,0.000200271606445312,5.76972961425781e-05,-0.375967619837174,0.293842768878591,-0.281261920826218,0.411913575922385,-1,0.74327096347554,-0.290882132376073,0.39390389679514,8.71762992531565e-06,6.3178825355086e-06,1.09394104294975e-05,1.34775825072295e-05,4.72808932070334e-05,3.12108991235228e-05,1.03715989346971e-05,1.32090994434784e-05,16.6983531936156,0
